Name,Watched Date,Year,Rewatch
Black Panther,10/09/2020 00:00:00,2018,
[REC],10/11/2020 00:00:00,2007,
Night of the Creeps,10/12/2020 00:00:00,1986,
Avengers: Infinity War,10/13/2020 00:00:00,2018,
The Fly,10/14/2020 00:00:00,1986,
28 Days Later,10/15/2020 00:00:00,2002,
Ant-Man and the Wasp,10/18/2020 00:00:00,2018,
The Trial of the Chicago 7,10/18/2020 00:00:00,2020,
The Slumber Party Massacre,10/19/2020 00:00:00,1982,
The Grapes of Death,10/20/2020 00:00:00,1978,
Captain Marvel,10/21/2020 00:00:00,2019,Yes
On the Rocks,10/24/2020 00:00:00,2020,
Avengers: Endgame,10/25/2020 00:00:00,2019,
Tales from the Hood,10/26/2020 00:00:00,1995,
Love Streams,10/27/2020 00:00:00,1984,
Landscape in the Mist,10/28/2020 00:00:00,1988,
Spider-Man: Far From Home,10/29/2020 00:00:00,2019,
Eyes Wide Shut,10/30/2020 00:00:00,1999,
The Boondock Saints,11/01/2020 00:00:00,1999,
The Captive,11/02/2020 00:00:00,2000,
Irreversible,11/03/2020 00:00:00,2002,
Love and Monsters,11/04/2020 00:00:00,2020,
Cosmos,11/05/2020 00:00:00,2015,
Hereditary,11/06/2020 00:00:00,2018,
The Adventures of Prince Achmed,11/07/2020 00:00:00,1926,
The Texas Chain Saw Massacre,11/07/2020 00:00:00,1974,Yes
The Jazz Singer,11/08/2020 00:00:00,1927,
Grand Illusion,11/09/2020 00:00:00,1937,
Angels with Dirty Faces,11/10/2020 00:00:00,1938,
Double Indemnity,11/12/2020 00:00:00,1944,
Friday the 13th Part 2,11/13/2020 00:00:00,1981,
Letter from an Unknown Woman,11/14/2020 00:00:00,1948,
Nights of Cabiria,11/15/2020 00:00:00,1957,
Love and Monsters,11/16/2020 00:00:00,2020,Yes
A Short Film About Killing,11/17/2020 00:00:00,1988,
Ivan's Childhood,11/20/2020 00:00:00,1962,
Woman in the Dunes,11/21/2020 00:00:00,1964,
Picnic at Hanging Rock,11/23/2020 00:00:00,1975,
Blow Out,11/24/2020 00:00:00,1981,
Hillbilly Elegy,11/25/2020 00:00:00,2020,
Do the Right Thing,11/27/2020 00:00:00,1989,
Blue Velvet,11/30/2020 00:00:00,1986,Yes
Happiest Season,12/01/2020 00:00:00,2020,
Happiness,12/02/2020 00:00:00,1998,
Mrs. Doubtfire,12/03/2020 00:00:00,1993,
In the Mood for Love,12/04/2020 00:00:00,2000,
Mank,12/05/2020 00:00:00,2020,
Minor Premise,12/06/2020 00:00:00,2020,
Freaky,12/07/2020 00:00:00,2020,
Inland Empire,12/08/2020 00:00:00,2006,
The Salt of the Earth,12/09/2020 00:00:00,2014,
It's a Wonderful Life,12/10/2020 00:00:00,1946,
Elf,12/11/2020 00:00:00,2003,Yes
The Prom,12/12/2020 00:00:00,2020,
Wolfwalkers,12/13/2020 00:00:00,2020,
Spring Breakers,12/14/2020 00:00:00,2012,
Faust,12/15/2020 00:00:00,1926,
Ammonite,12/16/2020 00:00:00,2020,
Tenet,12/17/2020 00:00:00,2020,
Dazed and Confused,12/18/2020 00:00:00,1993,Yes
The Muppet Christmas Carol,12/19/2020 00:00:00,1992,
Ma Rainey's Black Bottom,12/20/2020 00:00:00,2020,
Blow Out,12/21/2020 00:00:00,1981,Yes
Another Round,12/22/2020 00:00:00,2020,
The Nightmare Before Christmas,12/23/2020 00:00:00,1993,
Noelle,12/23/2020 00:00:00,2019,
The Midnight Sky,12/27/2020 00:00:00,2020,
Gone in 60 Seconds,12/28/2020 00:00:00,1974,
Soul,12/29/2020 00:00:00,2020,
The Thing From Another World,12/30/2020 00:00:00,1951,Yes
The New Babylon,01/02/2021 00:00:00,1929,
Rope,01/04/2021 00:00:00,1948,
I'm Thinking of Ending Things,01/06/2021 00:00:00,2020,Yes
Toni,01/07/2021 00:00:00,1935,
The Blue Angel,01/08/2021 00:00:00,1930,
Pieces of a Woman,01/09/2021 00:00:00,2020,
Odd Man Out,01/11/2021 00:00:00,1947,
A Man Escaped,01/12/2021 00:00:00,1956,
"Je, Tu, Il, Elle",01/13/2021 00:00:00,1974,
Ugetsu,01/14/2021 00:00:00,1953,
Bunny Lake Is Missing,01/18/2021 00:00:00,1965,
Promising Young Woman,01/19/2021 00:00:00,2020,
Army of Shadows,01/20/2021 00:00:00,1969,
Badlands,01/21/2021 00:00:00,1973,
Chopping Mall,01/22/2021 00:00:00,1986,
Game Night,01/24/2021 00:00:00,2018,
Polyester,01/26/2021 00:00:00,1981,
Fat Girl,01/27/2021 00:00:00,2001,
You Were Never Really Here,01/28/2021 00:00:00,2017,
The Beach Bum,01/29/2021 00:00:00,2019,
Nostalgia,01/30/2021 00:00:00,1983,
The Conformist,02/01/2021 00:00:00,1970,Yes
Night on Earth,02/02/2021 00:00:00,1991,
You Were Never Really Here,02/03/2021 00:00:00,2017,Yes
Hitch Hike,02/04/2021 00:00:00,1977,
Knives Out,02/06/2021 00:00:00,2019,Yes
Malcolm & Marie,02/09/2021 00:00:00,2021,
Syndromes and a Century,02/10/2021 00:00:00,2006,
Saint Maud,02/11/2021 00:00:00,2019,
Roma,02/12/2021 00:00:00,2018,
The Lost Weekend,02/13/2021 00:00:00,1945,
High School Musical 2,02/14/2021 00:00:00,2007,Yes
The Shop Around the Corner,02/15/2021 00:00:00,1940,
In a Lonely Place,02/17/2021 00:00:00,1950,
Barbarella,02/18/2021 00:00:00,1968,
The American Friend,02/20/2021 00:00:00,1977,
Pixote,02/21/2021 00:00:00,1980,
Morvern Callar,02/22/2021 00:00:00,2002,
Mean Girls,02/23/2021 00:00:00,2004,
Day of the Dead,02/24/2021 00:00:00,1985,Yes
Lost Highway,02/26/2021 00:00:00,1997,
L'Avventura,02/27/2021 00:00:00,1960,
Xtro,02/28/2021 00:00:00,1982,
Welcome to the Dollhouse,03/01/2021 00:00:00,1995,
WarGames,03/02/2021 00:00:00,1983,
The Entity,03/03/2021 00:00:00,1982,
Dude Bro Party Massacre III,03/04/2021 00:00:00,2015,
The Transporter,03/05/2021 00:00:00,2002,
Judas and the Black Messiah,03/06/2021 00:00:00,2021,
Dr. Jekyll and Mr. Hyde,03/07/2021 00:00:00,1920,
Shaun of the Dead,03/08/2021 00:00:00,2004,
Strange Invaders,03/09/2021 00:00:00,1983,
Good Time,03/10/2021 00:00:00,2017,Yes
The Outlaw Josey Wales,03/11/2021 00:00:00,1976,
Turbo Kid,03/13/2021 00:00:00,2015,
The Lady Eve,03/14/2021 00:00:00,1941,
The Odd Couple,03/15/2021 00:00:00,1968,
Salt,03/18/2021 00:00:00,2010,
Shooter,03/19/2021 00:00:00,2007,
The Meetings of Anna,03/21/2021 00:00:00,1978,
American Honey,03/22/2021 00:00:00,2016,
Jay and Silent Bob Strike Back,03/23/2021 00:00:00,2001,
The Mechanic,03/24/2021 00:00:00,1972,
Symbiopsychotaxiplasm: Take One,03/25/2021 00:00:00,1968,
The Night of the Hunter,03/26/2021 00:00:00,1955,
Toy Story 2,03/27/2021 00:00:00,1999,
